Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C401, C402, C403, C404, C502, C504, C602, C603, C608",0402,10,100nF,CL05B104KB54PNC
"C301, C303",2220,2,2.2uF,
C302,C_Radial_D8.0mm_H11.5mm_P3.50mm,1,15uF,
"C304, C305",C_Radial_D10.0mm_H16.0mm_P5.00mm,2,18uF,
"C501, C503",0603,2,10uF,C96446
C505,0402,1,1uF,C52923
"C601, C606",0402,2,10uF,C15525
"C604, C607",0402,2,10nF,C15195
C605,0402,1,220nF,C16772
D201,0603,1,YELLOW,C72038
"D202, D203",0603,2,GREEN,C72043
"D204, D205",0603,2,BLUE,C72041
"D401, D404",D_MiniMELF,2,3.3V Zener,C8056
"D402, D403",D_MiniMELF,2,3V3,C8056
D501,stm_STPS1170AF,1,0.62V,
D601,bourns_CDSOT23_T24CAN,1,CDSOT23-T24CAN,C350941
"F301, F302",littelfuse_05200101Z,2,Fuse_Small,
"H101, H102, H103, H104",MountingHole_3.2mm_M3,4,M3 Mounting Hole,
"IC401, IC404",ti_INA210CQDCKRQ1,2,INA210CQDCKRQ1,
"IC402, IC403",ti_OPA990IDCKR,2,OPA990IDCKR,
IC501,ti_LMG1210RVRT,1,LMG1210RVRT,
IC601,analog_ADM3055EBRIZ,1,ADM3055EBRIZ,C658105
J201,molex_microfit_43650_0227,1,43650-0227,
"J301, J302",AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,2,XT60PW-M,C98732
"J601, J602",molex_microfit_43650_0427,2,43650-0427,
JP601,PinHeader_1x02_P2.54mm_Vertical,1,Termination Resistors,
L301,tdk_B65878E1012D001,1,B65878E1012D001,
"L601, L602",0402,2,1.8k,C2683172
"Q301, Q302",epc_EPC2307,2,EPC2307,
"R201, R202, R203, R204, R205",0402,5,100,C25076
"R401, R404",0805,2,100k,C149504
R402,0805,1,3k,C17661
"R403, R406",1206,2,2m,
R405,0805,1,2k,C17604
"R501, R503",0402,2,20k,C25765
"R502, R504",0402,2,1.8,C423254
R601,0402,1,0,C17168
"R602, R603",0402,2,60.4,C60310
S201,xkb_TS_1187A_B_A_B,1,TS-1187A-B-A-B,C318884
"TJ101, TJ102, TJ103",vishay_THJP1225ABT1,3,Thermal Jumper,
TP201,TestPoint_Pad_1.0x1.0mm,1,3V3 TP,
TP202,TestPoint_Pad_1.0x1.0mm,1,5V TP,
TP203,TestPoint_Pad_1.0x1.0mm,1,GND TP,
TP204,TestPoint_Pad_1.0x1.0mm,1,12V TP,
TP301,TestPoint_2Pads_Pitch5.08mm_Drill1.3mm,1,VSW_TP,
TP401,TestPoint_Pad_1.0x1.0mm,1,+ARR_TP,
"TP402, TP403, TP408, TP410",TestPoint_Pad_1.0x1.0mm,4,GND_TP,
TP404,TestPoint_Pad_1.0x1.0mm,1,-ARR_TP,
TP405,TestPoint_Pad_1.0x1.0mm,1,ARRI_TP,
TP406,TestPoint_Pad_1.0x1.0mm,1,ARRV_TP,
TP407,TestPoint_Pad_1.0x1.0mm,1,+BATT_TP,
TP409,TestPoint_Pad_1.0x1.0mm,1,-BATT_TP,
TP411,TestPoint_Pad_1.0x1.0mm,1,BATTV_TP,
TP412,TestPoint_Pad_1.0x1.0mm,1,BATTI_TP,
TP501,TestPoint_Keystone_5005-5009_Compact,1,SW1_TP,
TP502,TestPoint_Keystone_5005-5009_Compact,1,GND_TP,
TP503,TestPoint_Keystone_5005-5009_Compact,1,SW2_TP,
TP504,TestPoint_Pad_1.0x1.0mm,1,PWMEN_TP,
TP505,TestPoint_Pad_1.0x1.0mm,1,PWM_TP,
TP601,TestPoint_Pad_1.0x1.0mm,1,CAN RX TP,
TP602,TestPoint_Pad_1.0x1.0mm,1,CAN TX TP,
TP603,TestPoint_Pad_1.0x1.0mm,1,CAN L TP,
TP604,TestPoint_Pad_1.0x1.0mm,1,CAN H TP,
U201,stm_nucleo_L432KC,1,NUCLEO-L432KC,
