Designator,Mid X,Mid Y,Rotation,Layer
C201,179.35,-40.0,270.0,bottom
C301,100.785355,-63.565507,225.0,bottom
C302,98.65,-79.3,0.0,top
C303,150.45,-68.15,180.0,bottom
C304,141.85,-78.32,0.0,top
C305,153.95,-78.32,0.0,top
C401,86.9725,-49.155,0.0,bottom
C402,104.9,-50.5875,90.0,bottom
C403,164.49375,-50.48,90.0,bottom
C404,172.2,-49.05,0.0,bottom
C501,146.115,-58.945,90.0,bottom
C502,149.315,-61.245,0.0,bottom
C503,147.615,-58.945,90.0,bottom
C504,149.315,-60.245,0.0,bottom
C505,154.015,-60.645,90.0,bottom
C601,109.555,-40.3,270.0,bottom
C602,111.005,-40.3,270.0,bottom
C603,109.555,-37.97,90.0,bottom
C604,111.005,-37.97,90.0,bottom
C605,101.555,-40.4,90.0,bottom
C606,97.705,-40.45,90.0,bottom
C607,100.255,-37.46,90.0,bottom
C608,98.855,-37.46,90.0,bottom
D201,168.1,-40.3,180.0,top
D202,168.1125,-37.8,180.0,top
D203,168.1,-35.3,180.0,top
D204,168.1,-42.75,180.0,top
D205,168.1,-45.3,180.0,top
D401,83.8925,-50.805,90.0,bottom
D402,100.15,-50.65,270.0,bottom
D403,159.675,-50.65,270.0,bottom
D404,169.1,-50.75,90.0,bottom
D501,151.915,-60.395,90.0,bottom
D601,106.655,-34.2,0.0,bottom
F301,74.435,-58.0,0.0,top
F302,159.735,-57.9,0.0,top
IC401,86.55,-51.65,270.0,bottom
IC402,102.8,-51.4875,90.0,bottom
IC403,162.44375,-51.45,90.0,bottom
IC404,171.75,-51.6,270.0,bottom
IC501,150.725,-60.74,0.0,top
IC601,108.155,-36.55,180.0,top
J201,181.665,-38.45,90.0,top
J301,90.0,-68.65,180.0,top
J302,175.4,-68.65,180.0,top
J601,81.8,-41.05,270.0,top
J602,92.39,-41.05,270.0,top
JP601,99.555,-29.21,0.0,top
L301,121.9,-69.17,90.0,top
L601,99.605,-41.15,0.0,bottom
L602,99.605,-39.75,0.0,bottom
Q301,148.223697,-68.05,0.0,top
Q302,152.623697,-68.04875,0.0,top
R201,139.98,-31.855,90.0,bottom
R202,150.18,-31.855,90.0,bottom
R203,152.68,-31.855,90.0,bottom
R204,142.48,-31.855,90.0,bottom
R205,122.18,-31.855,90.0,bottom
R401,104.6,-55.2,270.0,bottom
R402,102.4,-55.2125,270.0,bottom
R403,86.5,-57.9,0.0,bottom
R404,162.09375,-55.2,270.0,bottom
R405,164.29375,-55.1875,270.0,bottom
R406,171.8,-57.9,0.0,bottom
R501,147.115,-61.245,180.0,bottom
R502,149.315,-62.945,0.0,bottom
R503,147.115,-62.245,0.0,bottom
R504,154.015,-62.555,90.0,bottom
R601,101.605,-31.45,90.0,bottom
R602,99.57,-34.94,270.0,bottom
R603,97.86,-34.96,270.0,bottom
S201,168.0875,-30.45,0.0,top
TJ101,143.7,-73.7,270.0,bottom
TJ102,157.5,-69.3,180.0,bottom
TJ103,141.1,-54.45,90.0,bottom
TP501,126.35,-49.95,90.0,top
TP502,131.4,-49.95,90.0,top
TP503,136.45,-49.95,90.0,top
U201,136.425,-36.575,270.0,top
